qual_analysis_Id,questionnaire,response,attend_sciexpo_this_year,attend_sciexpo_last_year
2898,feelings_change_after_sciexpo,"The science expo had many great stands filled with lots of interesting careers, I really loved the stand about sleep because that is the type of science I am interested in. I would rather study something more about the psychological effects of science rather than the stuff everyone does like animal testing and things of that sort. I did see my place in science when it came to the more psychological parts.",Yes,Yes
2898,sciexpo_most_valuable_aspects,"I also really loved the stand where we made slime, it was very engaging and talked about how slime has to do with science.",Yes,Yes
2898,sciexpo_other_comments,Nope! Great job.,Yes,Yes
2898,sciexpo_what_to_improve,"I wouldn't improve anything, everyone was very friendly and informative.",Yes,Yes
2927,feelings_change_after_sciexpo,Did not attend,No,No
2927,sciexpo_most_valuable_aspects,NA,No,No
2927,sciexpo_other_comments,NA,No,No
2927,sciexpo_what_to_improve,NA,No,No
2930,feelings_change_after_sciexpo,I saw myself being represented as a scientist.,Yes,No
2930,sciexpo_most_valuable_aspects,"I saw people who changed their careers throughout their life to become a scientist, this enlightened my view on my possibilities as a scientist and other careers",Yes,No
2930,sciexpo_other_comments,N/A,Yes,No
2930,sciexpo_what_to_improve,N/A,Yes,No
2937,feelings_change_after_sciexpo,I don't know,Yes,Yes
2937,sciexpo_most_valuable_aspects,NA,Yes,Yes
2937,sciexpo_other_comments,NA,Yes,Yes
2937,sciexpo_what_to_improve,NA,Yes,Yes
3003,feelings_change_after_sciexpo,"I mean, I don’t know that I saw any fellow trans or nonbinary people at the expo… I could’ve just missed them, but I had originally been excited at the prospect of them being there & was in fact disappointed. Also, I got misgendered by the people who were at the expo, which obviously felt ✨wonderful✨.",Yes,Yes
3003,sciexpo_most_valuable_aspects,"I don’t know… I liked learning about random sciency-things, & the interactive activities are always an engaging way for me to do that.",Yes,Yes
3003,sciexpo_other_comments,NA,Yes,Yes
3003,sciexpo_what_to_improve,More trans representation; also more awareness about not assuming students’ pronouns.,Yes,Yes
3006,feelings_change_after_sciexpo,I saw myself represented by the scientific community and it has not really changed my perception because I had already seen myself represented.,Yes,No
3006,sciexpo_most_valuable_aspects,Getting to learn about people's research.,Yes,No
3006,sciexpo_other_comments,NA,Yes,No
3006,sciexpo_what_to_improve,More different research to hear about.,Yes,No
3026,feelings_change_after_sciexpo,"I talked to one person in particular, and he was in a very similar situation as I am when he was my age, so it was helpful to see how his story played out and where he ended up. It made me realize that I would also be able to work in science if I wish.",Yes,Yes
3026,sciexpo_most_valuable_aspects,"it was very interesting to be able to talk through specific careers, and see if I could imagine myself working in a similar job",Yes,Yes
3026,sciexpo_other_comments,n/a,Yes,Yes
3026,sciexpo_what_to_improve,"maybe the teachers got something like this, but it would've been nice to have a schedule of when each career would be in the expo during what periods, so we could think ahead about which ones in particular we wanted to talk to",Yes,Yes
3079,feelings_change_after_sciexpo,I got to learn about different forms of science that I found interesting.,Yes,No
3079,sciexpo_most_valuable_aspects,NA,Yes,No
3079,sciexpo_other_comments,Nope.,Yes,No
3079,sciexpo_what_to_improve,None that I can think of.,Yes,No
3105,feelings_change_after_sciexpo,Didn’t attend,Yes,Yes
3105,sciexpo_most_valuable_aspects,NA,Yes,Yes
3105,sciexpo_other_comments,NA,Yes,Yes
3105,sciexpo_what_to_improve,NA,Yes,Yes
3136,feelings_change_after_sciexpo,Didn’t attend,No,No
3136,sciexpo_most_valuable_aspects,Didn’t fo,No,No
3136,sciexpo_other_comments,NA,No,No
3136,sciexpo_what_to_improve,didn’t go,No,No
3143,feelings_change_after_sciexpo,It makes me feel great,Yes,Yes
3143,sciexpo_most_valuable_aspects,The study of the fruit fly brain.,Yes,Yes
3143,sciexpo_other_comments,N/a,Yes,Yes
3143,sciexpo_what_to_improve,I think the amount of time we get to explore should increase,Yes,Yes
3179,feelings_change_after_sciexpo,Seeing myself represented at the Science Expo didn't influence my perception or feelings regarding science in a positive or negative way. I feel mostly indifferent by things related to STEM. But it was cool seeing a bunch of women presenting various projects.,Yes,Yes
3179,sciexpo_most_valuable_aspects,The cool inventions and creations regarding experimental progress throughout some time being displayed to us. I appreciate the scientists who have taken a long period of time to experiment and were now able to present to us with all their work.,Yes,Yes
3179,sciexpo_other_comments,None currently,Yes,Yes
3179,sciexpo_what_to_improve,To make it optional :D,Yes,Yes
3186,feelings_change_after_sciexpo,i feel the same,Yes,Yes
3186,sciexpo_most_valuable_aspects,i liked talking to the ppl,Yes,Yes
3186,sciexpo_other_comments,NA,Yes,Yes
3186,sciexpo_what_to_improve,it was kinda boring and awkward,Yes,Yes
3205,feelings_change_after_sciexpo,did not attend the expo,No,Yes
3205,sciexpo_most_valuable_aspects,NA,No,Yes
3205,sciexpo_other_comments,NA,No,Yes
3205,sciexpo_what_to_improve,NA,No,Yes
3252,feelings_change_after_sciexpo,Very interesting and cool.,Yes,No
3252,sciexpo_most_valuable_aspects,It was fun.,Yes,No
3252,sciexpo_other_comments,No.,Yes,No
3252,sciexpo_what_to_improve,None.,Yes,No
3270,feelings_change_after_sciexpo,No change,Yes,No
3270,sciexpo_most_valuable_aspects,The openness of the presenters,Yes,No
3270,sciexpo_other_comments,No,Yes,No
3270,sciexpo_what_to_improve,No opinion,Yes,No
3337,feelings_change_after_sciexpo,It was nice to see so many women in the science space and hearing them talk about their experiments/research. It was really nice to see some of the passion people have in their work.,Yes,No
3337,sciexpo_most_valuable_aspects,Seeing research related to medicine and the general benefits to society.,Yes,No
3337,sciexpo_other_comments,NA,Yes,No
3337,sciexpo_what_to_improve,Some presenters only had their boards and didn't explain. Don't expect students to read your board and ask questions only. You need to explain your research and what it means.,Yes,No
3457,feelings_change_after_sciexpo,It made me feel more confident in my choice of choosing a science related career,Yes,Yes
3457,sciexpo_most_valuable_aspects,The medical side,Yes,Yes
3457,sciexpo_other_comments,NA,Yes,Yes
3457,sciexpo_what_to_improve,NA,Yes,Yes
3518,feelings_change_after_sciexpo,I felt represented at the science expo however im more interested in biology and chemistry that goes with dentistry and would like to see that more represented.,Yes,Yes
3518,sciexpo_most_valuable_aspects,the biology aspects (slime making) I am in AP biology and very interested in it.,Yes,Yes
3518,sciexpo_other_comments,no,Yes,Yes
3518,sciexpo_what_to_improve,Having more science-related careers shown.,Yes,Yes
3562,feelings_change_after_sciexpo,"I see myself represented in many fields and at many of the stations in the science expo, it makes me feel intrigued and confident in science learning.",Yes,No
3562,sciexpo_most_valuable_aspects,the interactive stations showing the results of research and creation,Yes,No
3562,sciexpo_other_comments,no,Yes,No
3562,sciexpo_what_to_improve,the length of time we spend in there,Yes,No
3616,feelings_change_after_sciexpo,Did not attend the expo,No,No
3616,sciexpo_most_valuable_aspects,NA,No,No
3616,sciexpo_other_comments,NA,No,No
3616,sciexpo_what_to_improve,NA,No,No
3628,feelings_change_after_sciexpo,not attended,No,Yes
3628,sciexpo_most_valuable_aspects,hands on showcase,No,Yes
3628,sciexpo_other_comments,"nah bro, we chill like that",No,Yes
3628,sciexpo_what_to_improve,more variety in science,No,Yes
3716,feelings_change_after_sciexpo,"I talked with some guy who had also planned on going into nursing and explained how it transitioned into him studying medical-related science even though he had always believed that he wasn't smart enough for science, which really resonated with me.",Yes,Yes
3716,sciexpo_most_valuable_aspects,I think people getting to learn about science through hands-on experience was really valuable.,Yes,Yes
3716,sciexpo_other_comments,NA,Yes,Yes
3716,sciexpo_what_to_improve,I would add even more hands-on stuff and visuals because a lot of people have difficulty learning when they're just getting talked at.,Yes,Yes
3770,feelings_change_after_sciexpo,I thought it was interesting seeing students interested in things I am interested in and they are making a actual career out of that too,Yes,Yes
3770,sciexpo_most_valuable_aspects,engaging with others,Yes,Yes
3770,sciexpo_other_comments,I love these science expos they honestly are the highlights of my days in my science classes.,Yes,Yes
3770,sciexpo_what_to_improve,Some peoples presentations were not as good as others but also that is not all their fault. I think some things were a lot easier to make better than others but it was nice when you could tell that somebody put extra work into their presentation.,Yes,Yes
3774,feelings_change_after_sciexpo,"Did not change, science has never been my thing although I do not mind learning about it.",Yes,Yes
3774,sciexpo_most_valuable_aspects,Seeing how science has an impact on everyone's lives but completely different reasons,Yes,Yes
3774,sciexpo_other_comments,nope,Yes,Yes
3774,sciexpo_what_to_improve,none,Yes,Yes
3822,feelings_change_after_sciexpo,I like the different things they had and you could see all the different jobs with Science,Yes,Yes
3822,sciexpo_most_valuable_aspects,The one with the slime it was cool seeing how it was  made,Yes,Yes
3822,sciexpo_other_comments,No it was cool tho,Yes,Yes
3822,sciexpo_what_to_improve,Nothing I liked it,Yes,Yes
3867,feelings_change_after_sciexpo,I dont feel that influenced by it,Yes,No
3867,sciexpo_most_valuable_aspects,Interactive booths like the eyesight goggles and the sleep wheel,Yes,No
3867,sciexpo_other_comments,NA,Yes,No
3867,sciexpo_what_to_improve,NA,Yes,No
3915,feelings_change_after_sciexpo,Not sure that I seen myself being represented,Yes,No
3915,sciexpo_most_valuable_aspects,NA,Yes,No
3915,sciexpo_other_comments,NA,Yes,No
3915,sciexpo_what_to_improve,NA,Yes,No
3952,feelings_change_after_sciexpo,I found one table related to what I want to be so I find that very interesting,Yes,No
3952,sciexpo_most_valuable_aspects,Learning about different type sof science,Yes,No
3952,sciexpo_other_comments,NA,Yes,No
3952,sciexpo_what_to_improve,I would try to add more physical aspects.,Yes,No
3978,feelings_change_after_sciexpo,"Since I’m interested in forensics and I did not seeing anything like that, seeing that it wasn’t represented makes me think that my interest in forensics is unique; it makes me want to do it more.",Yes,Yes
3978,sciexpo_most_valuable_aspects,The technology and the gadgets. They show what you could do if you joined their program.,Yes,Yes
3978,sciexpo_other_comments,No,Yes,Yes
3978,sciexpo_what_to_improve,"I would improve making them more attractive to students. The stands are simple, and doesn’t make you want to really come up to them.",Yes,Yes
4013,feelings_change_after_sciexpo,It made me feel more confident i could go into a science field and be passionate about it.,Yes,Yes
4013,sciexpo_most_valuable_aspects,Seeing careers i’m interested in,Yes,Yes
4013,sciexpo_other_comments,NA,Yes,Yes
4013,sciexpo_what_to_improve,NA,Yes,Yes
4045,feelings_change_after_sciexpo,I saw a lot of my interests being showcased.,Yes,Yes
4045,sciexpo_most_valuable_aspects,Human body anatomy being showcased.,Yes,Yes
4045,sciexpo_other_comments,N/A,Yes,Yes
4045,sciexpo_what_to_improve,N/A everything was fine the way it was,Yes,Yes
4145,feelings_change_after_sciexpo,I see lots of people like me doing science and lots of people not like me doing science it feels good,Yes,Yes
4145,sciexpo_most_valuable_aspects,I liked asking questions and getting answers form experts,Yes,Yes
4145,sciexpo_other_comments,NA,Yes,Yes
4145,sciexpo_what_to_improve,NA,Yes,Yes
4155,feelings_change_after_sciexpo,"I saw people of color but not a ton, i think my feelings are the same though",Yes,No
4155,sciexpo_most_valuable_aspects,Interacting with the presenters and doing the hands on models,Yes,No
4155,sciexpo_other_comments,No,Yes,No
4155,sciexpo_what_to_improve,I liked it all!,Yes,No
4189,feelings_change_after_sciexpo,N/A,No,No
4189,sciexpo_most_valuable_aspects,N/A,No,No
4189,sciexpo_other_comments,N/A,No,No
4189,sciexpo_what_to_improve,N/A,No,No
4193,feelings_change_after_sciexpo,There were a lot of diversity in people so I felt represented but a typical/stereotypical scientist doesn't make me feel represented,Yes,No
4193,sciexpo_most_valuable_aspects,I like the slime because it was very hands on,Yes,No
4193,sciexpo_other_comments,Nope,Yes,No
4193,sciexpo_what_to_improve,More fun and hands on activities,Yes,No
4199,feelings_change_after_sciexpo,it didn’t really change my feelings,Yes,Yes
4199,sciexpo_most_valuable_aspects,i learned new information,Yes,Yes
4199,sciexpo_other_comments,no,Yes,Yes
4199,sciexpo_what_to_improve,more interactive stations maybe,Yes,Yes
4308,feelings_change_after_sciexpo,I feel like there were some projects that actually worked in investigating things that matter to us like teens and sleep and even though I will not be study any science related career that helped me see science from a different perspective as something useful,Yes,No
4308,sciexpo_most_valuable_aspects,Getting to know the interests of other people and how hard they work to help make people’s lives better.,Yes,No
4308,sciexpo_other_comments,"No, great job! ;)",Yes,No
4308,sciexpo_what_to_improve,None ;),Yes,No
4481,feelings_change_after_sciexpo,NA,Yes,No
4481,sciexpo_most_valuable_aspects,NA,Yes,No
4481,sciexpo_other_comments,nah,Yes,No
4481,sciexpo_what_to_improve,More dinosaurs,Yes,No
4506,feelings_change_after_sciexpo,I talked to a guy (his stand was about fly brains) who was talking to us about how he didn't think he was smart enough for science related medical major so he decided to go into nursing before then going into science. This resonated with me because he was able to figure things out and that makes me hopeful,Yes,Yes
4506,sciexpo_most_valuable_aspects,i found that guy who did the fly brains the most valuable to me,Yes,Yes
4506,sciexpo_other_comments,NA,Yes,Yes
4506,sciexpo_what_to_improve,more interactive stands,Yes,Yes
4583,feelings_change_after_sciexpo,Did not attend the expo,No,Yes
4583,sciexpo_most_valuable_aspects,Did not attend the expo,No,Yes
4583,sciexpo_other_comments,Did not attend the expo,No,Yes
4583,sciexpo_what_to_improve,Did not attend the expo,No,Yes
4624,feelings_change_after_sciexpo,:),Yes,Yes
4624,sciexpo_most_valuable_aspects,:0,Yes,Yes
4624,sciexpo_other_comments,oo,Yes,Yes
4624,sciexpo_what_to_improve,:(,Yes,Yes
4653,feelings_change_after_sciexpo,I think seeing myself represented throughout the expo strengthened my passion for science. The career path i've  been considering has had me worrying a bit about whether it is really something I'd be able to do but seeing each presenter talk about the specific science they're interested in with such passion re-sparked my passion.,Yes,Yes
4653,sciexpo_most_valuable_aspects,I really enjoyed that each presentation was personal to each person there and they all didn't seem like they just had to be there but they truly were passionate and wanted to share it with us students.,Yes,Yes
4653,sciexpo_other_comments,NA,Yes,Yes
4653,sciexpo_what_to_improve,"The only thing I would improve is the amount of things there were, there wasn't much so I revisited lots of the tables.",Yes,Yes
4689,feelings_change_after_sciexpo,I am not interested in science.,No,No
4689,sciexpo_most_valuable_aspects,NA,No,No
4689,sciexpo_other_comments,NA,No,No
4689,sciexpo_what_to_improve,NA,No,No
4764,feelings_change_after_sciexpo,I feel represented in the science community by women.,Yes,No
4764,sciexpo_most_valuable_aspects,NA,Yes,No
4764,sciexpo_other_comments,NA,Yes,No
4764,sciexpo_what_to_improve,NA,Yes,No
4796,feelings_change_after_sciexpo,did not attend the expo,No,No
4796,sciexpo_most_valuable_aspects,NA,No,No
4796,sciexpo_other_comments,NA,No,No
4796,sciexpo_what_to_improve,NA,No,No
4841,feelings_change_after_sciexpo,"It didn't I don't judge based off of if I see myself as important, I think that the science is more important than what I see as myself.",Yes,Yes
4841,sciexpo_most_valuable_aspects,The information about various biological topics.,Yes,Yes
4841,sciexpo_other_comments,No,Yes,Yes
4841,sciexpo_what_to_improve,I'm not entirely sure but what made it overwhelming was the sheer amount of stations. I'm not asking anybody to reduce em but it seemed like a lot to me personally.,Yes,Yes
4872,feelings_change_after_sciexpo,Did not attend the expo,No,No
4872,sciexpo_most_valuable_aspects,NA,No,No
4872,sciexpo_other_comments,NA,No,No
4872,sciexpo_what_to_improve,NA,No,No
4873,feelings_change_after_sciexpo,"I did see some people there that were of color, and lots of them were women, however none of them were black.",Yes,No
4873,sciexpo_most_valuable_aspects,NA,Yes,No
4873,sciexpo_other_comments,NA,Yes,No
4873,sciexpo_what_to_improve,NA,Yes,No
4930,feelings_change_after_sciexpo,"I felt seen by the scientific community especially when asking question, the people there were more interested in me and the professional career I want to persue.",Yes,No
4930,sciexpo_most_valuable_aspects,the variety of fields in science that were present that day.,Yes,No
4930,sciexpo_other_comments,NA,Yes,No
4930,sciexpo_what_to_improve,"I would do more editions of the expo, it was super interesting.",Yes,No
